Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
MD,Beaver Creek CDP,Beaver Creek CDPMD,8.5,88.3,(X),,,,,MD,Beltsville CDP,Beltsville CDPMD,73189
MD,Bel Air CDP,Bel Air CDPMD,28.2,98.1,52656,,,,,MD,Benedict CDP,Benedict CDPMD,73125
MD,Bel Air town,Bel Air townMD,5,95.5,66828,,,,,MD,Bensville CDP,Bensville CDPMD,122512
MD,Bel Air North CDP,Bel Air North CDPMD,3.8,95.1,98200,,,,,MD,Berlin town,Berlin townMD,57782
MD,Bel Air South CDP,Bel Air South CDPMD,4.9,95.1,87548,,,,,MD,Berwyn Heights town,Berwyn Heights townMD,94934
MD,Beltsville CDP,Beltsville CDPMD,14.3,82.8,73189,,,,,MD,Bethesda CDP,Bethesda CDPMD,144772
MD,Benedict CDP,Benedict CDPMD,0,75.5,73125,,,,,MD,Betterton town,Betterton townMD,42500
MD,Bensville CDP,Bensville CDPMD,3.3,95,122512,,,,,MD,Bier CDP,Bier CDPMD,-
MD,Berlin town,Berlin townMD,12.5,84.9,57782,,,,,MD,Big Pool CDP,Big Pool CDPMD,-
MD,Berwyn Heights town,Berwyn Heights townMD,11.3,83,94934,,,,,MD,Big Spring CDP,Big Spring CDPMD,75568
MD,Bethesda CDP,Bethesda CDPMD,2.7,98.7,144772,,,,,MD,Bishopville CDP,Bishopville CDPMD,52500
MD,Betterton town,Betterton townMD,20.6,96.2,42500,,,,,MD,Bivalve CDP,Bivalve CDPMD,42688
MD,Bier CDP,Bier CDPMD,0,100,-,,,,,MD,Bladensburg town,Bladensburg townMD,42125
MD,Big Pool CDP,Big Pool CDPMD,0,74,-,,,,,MD,Bloomington CDP,Bloomington CDPMD,45625
MD,Big Spring CDP,Big Spring CDPMD,11.7,92.6,75568,,,,,MD,Boonsboro town,Boonsboro townMD,64306
MD,Bishopville CDP,Bishopville CDPMD,0,70.2,52500,,,,,MD,Bowie city,Bowie cityMD,105959
MD,Bivalve CDP,Bivalve CDPMD,4.8,93.9,42688,,,,,MD,Bowleys Quarters CDP,Bowleys Quarters CDPMD,68139
MD,Bladensburg town,Bladensburg townMD,20.3,78.1,42125,,,,,MD,Bowling Green CDP,Bowling Green CDPMD,41250
MD,Bloomington CDP,Bloomington CDPMD,3,83.9,45625,,,,,MD,Bowmans Addition CDP,Bowmans Addition CDPMD,37604
MD,Boonsboro town,Boonsboro townMD,6.9,90.5,64306,,,,,MD,Braddock Heights CDP,Braddock Heights CDPMD,92686
MD,Bowie city,Bowie cityMD,3.4,95.9,105959,,,,,MD,Brandywine CDP,Brandywine CDPMD,118370
MD,Bowleys Quarters CDP,Bowleys Quarters CDPMD,8.5,92.2,68139,,,,,MD,Breathedsville CDP,Breathedsville CDPMD,63310
MD,Bowling Green CDP,Bowling Green CDPMD,17.3,91.9,41250,,,,,MD,Brentwood town,Brentwood townMD,57650
MD,Bowmans Addition CDP,Bowmans Addition CDPMD,25.7,88.9,37604,,,,,MD,Brock Hall CDP,Brock Hall CDPMD,136014
MD,Braddock Heights CDP,Braddock Heights CDPMD,1.4,91.4,92686,,,,,MD,Brookeville town,Brookeville townMD,145417
MD,Brandywine CDP,Brandywine CDPMD,3.5,93.7,118370,,,,,MD,Brooklyn Park CDP,Brooklyn Park CDPMD,59343
MD,Breathedsville CDP,Breathedsville CDPMD,5.9,89.3,63310,,,,,MD,Brookmont CDP,Brookmont CDPMD,163438
MD,Brentwood town,Brentwood townMD,10.7,67,57650,,,,,MD,Brookview town,Brookview townMD,56250
MD,Brock Hall CDP,Brock Hall CDPMD,2.5,96.8,136014,,,,,MD,Broomes Island CDP,Broomes Island CDPMD,167614
MD,Brookeville town,Brookeville townMD,3,99.2,145417,,,,,MD,Brownsville CDP,Brownsville CDPMD,-
MD,Brooklyn Park CDP,Brooklyn Park CDPMD,16.1,81.9,59343,,,,,MD,Brunswick city,Brunswick cityMD,61272
MD,Brookmont CDP,Brookmont CDPMD,2.5,98.9,163438,,,,,MD,Bryans Road CDP,Bryans Road CDPMD,79167
MD,Brookview town,Brookview townMD,16.7,93.8,56250,,,,,MD,Bryantown CDP,Bryantown CDPMD,85086
MD,Broomes Island CDP,Broomes Island CDPMD,0,89.7,167614,,,,,MD,Buckeystown CDP,Buckeystown CDPMD,83205
MD,Brownsville CDP,Brownsville CDPMD,0,100,-,,,,,MD,Burkittsville town,Burkittsville townMD,72188
MD,Brunswick city,Brunswick cityMD,13.8,90.3,61272,,,,,MD,Burtonsville CDP,Burtonsville CDPMD,110980
MD,Bryans Road CDP,Bryans Road CDPMD,7.2,90.8,79167,,,,,MD,Butlertown CDP,Butlertown CDPMD,65278
MD,Bryantown CDP,Bryantown CDPMD,28.6,85.9,85086,,,,,MD,Cabin John CDP,Cabin John CDPMD,160913
MD,Buckeystown CDP,Buckeystown CDPMD,2.1,98.8,83205,,,,,MD,California CDP,California CDPMD,86031
MD,Burkittsville town,Burkittsville townMD,13.3,91.2,72188,,,,,MD,Calvert Beach CDP,Calvert Beach CDPMD,88661
MD,Burtonsville CDP,Burtonsville CDPMD,4,91.6,110980,,,,,MD,Calverton CDP,Calverton CDPMD,75208
MD,Butlertown CDP,Butlertown CDPMD,6.5,86.6,65278,,,,,MD,Cambridge city,Cambridge cityMD,35354
MD,Cabin John CDP,Cabin John CDPMD,2.3,96.3,160913,,,,,MD,Camp Springs CDP,Camp Springs CDPMD,82674
MD,California CDP,California CDPMD,8.6,92.6,86031,,,,,MD,Cape St. Claire CDP,Cape St. Claire CDPMD,88965
MD,Calvert Beach CDP,Calvert Beach CDPMD,6.1,94,88661,,,,,MD,Capitol Heights town,Capitol Heights townMD,75788
MD,Calverton CDP,Calverton CDPMD,5.7,88.8,75208,,,,,MD,Carlos CDP,Carlos CDPMD,50000
MD,Cambridge city,Cambridge cityMD,26.2,83.7,35354,,,,,MD,Carney CDP,Carney CDPMD,59282
MD,Camp Springs CDP,Camp Springs CDPMD,5.6,92.4,82674,,,,,MD,Catonsville CDP,Catonsville CDPMD,76959
MD,Cape St. Claire CDP,Cape St. Claire CDPMD,2.6,96.8,88965,,,,,MD,Cavetown CDP,Cavetown CDPMD,69931
MD,Capitol Heights town,Capitol Heights townMD,13,79.7,75788,,,,,MD,Cearfoss CDP,Cearfoss CDPMD,-
MD,Carlos CDP,Carlos CDPMD,0,100,50000,,,,,MD,Cecilton town,Cecilton townMD,34792
MD,Carney CDP,Carney CDPMD,8.6,92.5,59282,,,,,MD,Cedarville CDP,Cedarville CDPMD,56250
MD,Catonsville CDP,Catonsville CDPMD,5.8,93.8,76959,,,,,MD,Centreville town,Centreville townMD,91375
MD,Cavetown CDP,Cavetown CDPMD,4.1,85.9,69931,,,,,MD,Chance CDP,Chance CDPMD,66250
MD,Cearfoss CDP,Cearfoss CDPMD,0,100,-,,,,,MD,Charlestown town,Charlestown townMD,73542
MD,Cecilton town,Cecilton townMD,9.1,77.2,34792,,,,,MD,Charlotte Hall CDP,Charlotte Hall CDPMD,75625
MD,Cedarville CDP,Cedarville CDPMD,3.8,84.4,56250,,,,,MD,Charlton CDP,Charlton CDPMD,133667
MD,Centreville town,Centreville townMD,4.8,92.9,91375,,,,,MD,Chesapeake Beach town,Chesapeake Beach townMD,95086
MD,Chance CDP,Chance CDPMD,5.7,96.2,66250,,,,,MD,Chesapeake City town,Chesapeake City townMD,55139
MD,Charlestown town,Charlestown townMD,12.5,89.4,73542,,,,,MD,Chesapeake Ranch Estates CDP,Chesapeake Ranch Estates CDPMD,83125
MD,Charlotte Hall CDP,Charlotte Hall CDPMD,2.9,87.9,75625,,,,,MD,Chester CDP,Chester CDPMD,89427
MD,Charlton CDP,Charlton CDPMD,0,100,133667,,,,,MD,Chestertown town,Chestertown townMD,43977
MD,Chesapeake Beach town,Chesapeake Beach townMD,12.2,96.5,95086,,,,,MD,Cheverly town,Cheverly townMD,97151
MD,Chesapeake City town,Chesapeake City townMD,10.9,96.7,55139,,,,,MD,Chevy Chase town,Chevy Chase townMD,"250,000+"
MD,Chesapeake Ranch Estates CDP,Chesapeake Ranch Estates CDPMD,5.3,94.8,83125,,,,,MD,Chevy Chase CDP,Chevy Chase CDPMD,159957
MD,Chester CDP,Chester CDPMD,8.4,92.2,89427,,,,,MD,Chevy Chase Section Five village,Chevy Chase Section Five villageMD,"250,000+"
MD,Chestertown town,Chestertown townMD,24.9,84.5,43977,,,,,MD,Chevy Chase Section Three village,Chevy Chase Section Three villageMD,242500
MD,Cheverly town,Cheverly townMD,6.9,89.1,97151,,,,,MD,Chevy Chase View town,Chevy Chase View townMD,238125
MD,Chevy Chase town,Chevy Chase townMD,0.6,99.8,"250,000+",,,,,MD,Chevy Chase Village town,Chevy Chase Village townMD,"250,000+"
MD,Chevy Chase CDP,Chevy Chase CDPMD,2.7,98.7,159957,,,,,MD,Chewsville CDP,Chewsville CDPMD,38929
MD,Chevy Chase Section Five village,Chevy Chase Section Five villageMD,4.5,99.5,"250,000+",,,,,MD,Chillum CDP,Chillum CDPMD,60055
MD,Chevy Chase Section Three village,Chevy Chase Section Three villageMD,1.8,99.4,242500,,,,,MD,Choptank CDP,Choptank CDPMD,59167
MD,Chevy Chase View town,Chevy Chase View townMD,0.5,100,238125,,,,,MD,Church Creek town,Church Creek townMD,60000
MD,Chevy Chase Village town,Chevy Chase Village townMD,2.2,97.9,"250,000+",,,,,MD,Church Hill town,Church Hill townMD,65670
MD,Chewsville CDP,Chewsville CDPMD,4.7,92.2,38929,,,,,MD,Clarksburg CDP,Clarksburg CDPMD,135078
MD,Chillum CDP,Chillum CDPMD,13.7,67.3,60055,,,,,MD,Clarysville CDP,Clarysville CDPMD,-
MD,Choptank CDP,Choptank CDPMD,10.5,92.9,59167,,,,,MD,Clear Spring town,Clear Spring townMD,46625
MD,Church Creek town,Church Creek townMD,11.4,97,60000,,,,,MD,Clinton CDP,Clinton CDPMD,103678
MD,Church Hill town,Church Hill townMD,21,80.9,65670,,,,,MD,Cloverly CDP,Cloverly CDPMD,117038
MD,Clarksburg CDP,Clarksburg CDPMD,4.1,93.9,135078,,,,,MD,Cobb Island CDP,Cobb Island CDPMD,71250
MD,Clarysville CDP,Clarysville CDPMD,0,51.7,-,,,,,MD,Cockeysville CDP,Cockeysville CDPMD,60976
MD,Clear Spring town,Clear Spring townMD,12.2,85.7,46625,,,,,MD,Colesville CDP,Colesville CDPMD,106125
MD,Clinton CDP,Clinton CDPMD,4,92.8,103678,,,,,MD,College Park city,College Park cityMD,57824
MD,Cloverly CDP,Cloverly CDPMD,4.8,93.7,117038,,,,,MD,Colmar Manor town,Colmar Manor townMD,68000
MD,Cobb Island CDP,Cobb Island CDPMD,19.3,93.9,71250,,,,,MD,Columbia CDP,Columbia CDPMD,100849
MD,Cockeysville CDP,Cockeysville CDPMD,10.1,93.3,60976,,,,,MD,Coral Hills CDP,Coral Hills CDPMD,54031
MD,Colesville CDP,Colesville CDPMD,3.4,89.7,106125,,,,,MD,Cordova CDP,Cordova CDPMD,73000
MD,College Park city,College Park cityMD,29.9,87,57824,,,,,MD,Corriganville CDP,Corriganville CDPMD,39018
MD,Colmar Manor town,Colmar Manor townMD,15.2,66.4,68000,,,,,MD,Cottage City town,Cottage City townMD,48750
MD,Columbia CDP,Columbia CDPMD,7,95.7,100849,,,,,MD,Crellin CDP,Crellin CDPMD,35699
MD,Coral Hills CDP,Coral Hills CDPMD,9.6,81.9,54031,,,,,MD,Cresaptown CDP,Cresaptown CDPMD,41921
MD,Cordova CDP,Cordova CDPMD,2.5,90,73000,,,,,MD,Crisfield city,Crisfield cityMD,29208
MD,Corriganville CDP,Corriganville CDPMD,3.1,70.9,39018,,,,,MD,Crofton CDP,Crofton CDPMD,112771
MD,Cottage City town,Cottage City townMD,10,74.1,48750,,,,,MD,Croom CDP,Croom CDPMD,110290
MD,Crellin CDP,Crellin CDPMD,0,83.2,35699,,,,,MD,Crownsville CDP,Crownsville CDPMD,107308
MD,Cresaptown CDP,Cresaptown CDPMD,12.6,79,41921,,,,,MD,Cumberland city,Cumberland cityMD,30275
MD,Crisfield city,Crisfield cityMD,44.6,77.2,29208,,,,,MD,Damascus CDP,Damascus CDPMD,115689
MD,Crofton CDP,Crofton CDPMD,2.7,97,112771,,,,,MD,Dames Quarter CDP,Dames Quarter CDPMD,(X)
MD,Croom CDP,Croom CDPMD,6.3,84,110290,,,,,MD,Danville CDP,Danville CDPMD,(X)
MD,Crownsville CDP,Crownsville CDPMD,13.2,91.7,107308,,,,,MD,Dargan CDP,Dargan CDPMD,54688
MD,Cumberland city,Cumberland cityMD,25.1,87.6,30275,,,,,MD,Darlington CDP,Darlington CDPMD,71786
MD,Damascus CDP,Damascus CDPMD,5.3,93.4,115689,,,,,MD,Darnestown CDP,Darnestown CDPMD,189276
MD,Dames Quarter CDP,Dames Quarter CDPMD,38.2,68.8,(X),,,,,MD,Dawson CDP,Dawson CDPMD,65536
MD,Danville CDP,Danville CDPMD,8.5,96.4,(X),,,,,MD,Deale CDP,Deale CDPMD,99761
MD,Dargan CDP,Dargan CDPMD,0,100,54688,,,,,MD,Deal Island CDP,Deal Island CDPMD,31161
MD,Darlington CDP,Darlington CDPMD,4.6,91.9,71786,,,,,MD,Deer Park town,Deer Park townMD,40694
MD,Darnestown CDP,Darnestown CDPMD,0.2,98.3,189276,,,,,MD,Delmar town,Delmar townMD,51117
MD,Dawson CDP,Dawson CDPMD,0,82.7,65536,,,,,MD,Denton town,Denton townMD,41122
MD,Deale CDP,Deale CDPMD,7.6,92,99761,,,,,MD,Derwood CDP,Derwood CDPMD,93958
MD,Deal Island CDP,Deal Island CDPMD,24.6,89.8,31161,,,,,MD,Detmold CDP,Detmold CDPMD,-
MD,Deer Park town,Deer Park townMD,23.2,79.8,40694,,,,,MD,District Heights city,District Heights cityMD,65732
MD,Delmar town,Delmar townMD,17.9,89.9,51117,,,,,MD,Downsville CDP,Downsville CDPMD,57102
MD,Denton town,Denton townMD,21.3,85.9,41122,,,,,MD,Drum Point CDP,Drum Point CDPMD,70726
MD,Derwood CDP,Derwood CDPMD,11.2,87.6,93958,,,,,MD,Dundalk CDP,Dundalk CDPMD,49435
MD,Detmold CDP,Detmold CDPMD,47.2,100,-,,,,,MD,Dunkirk CDP,Dunkirk CDPMD,111953
MD,District Heights city,District Heights cityMD,8.8,89.5,65732,,,,,MD,Eagle Harbor town,Eagle Harbor townMD,78750
MD,Downsville CDP,Downsville CDPMD,4.6,80.6,57102,,,,,MD,Eakles Mill CDP,Eakles Mill CDPMD,-
MD,Drum Point CDP,Drum Point CDPMD,10.2,94.4,70726,,,,,MD,East New Market town,East New Market townMD,39769
MD,Dundalk CDP,Dundalk CDPMD,13.7,79.7,49435,,,,,MD,Easton town,Easton townMD,50496
MD,Dunkirk CDP,Dunkirk CDPMD,0.3,95.7,111953,,,,,MD,East Riverdale CDP,East Riverdale CDPMD,58930
MD,Eagle Harbor town,Eagle Harbor townMD,19.5,75,78750,,,,,MD,Eckhart Mines CDP,Eckhart Mines CDPMD,70521
MD,Eakles Mill CDP,Eakles Mill CDPMD,-,-,-,,,,,MD,Eden CDP,Eden CDPMD,30938
MD,East New Market town,East New Market townMD,10,87.6,39769,,,,,MD,Edesville CDP,Edesville CDPMD,(X)
MD,Easton town,Easton townMD,12.5,86.6,50496,,,,,MD,Edgemere CDP,Edgemere CDPMD,57486
MD,East Riverdale CDP,East Riverdale CDPMD,15.9,59.1,58930,,,,,MD,Edgemont CDP,Edgemont CDPMD,60278
MD,Eckhart Mines CDP,Eckhart Mines CDPMD,5.7,80.8,70521,,,,,MD,Edgewater CDP,Edgewater CDPMD,99875
MD,Eden CDP,Eden CDPMD,23.6,60.7,30938,,,,,MD,Edgewood CDP,Edgewood CDPMD,56021
MD,Edesville CDP,Edesville CDPMD,34.1,53.1,(X),,,,,MD,Edmonston town,Edmonston townMD,52386
MD,Edgemere CDP,Edgemere CDPMD,8.2,84.7,57486,,,,,MD,Eldersburg CDP,Eldersburg CDPMD,106725
MD,Edgemont CDP,Edgemont CDPMD,0,92.1,60278,,,,,MD,Eldorado town,Eldorado townMD,78750
MD,Edgewater CDP,Edgewater CDPMD,6.8,94.3,99875,,,,,MD,Elkridge CDP,Elkridge CDPMD,97118
MD,Edgewood CDP,Edgewood CDPMD,14.7,90.9,56021,,,,,MD,Elkton town,Elkton townMD,53851
MD,Edmonston town,Edmonston townMD,14,61.5,52386,,,,,MD,Ellerslie CDP,Ellerslie CDPMD,44000
MD,Eldersburg CDP,Eldersburg CDPMD,3,93.4,106725,,,,,MD,Ellicott City CDP,Ellicott City CDPMD,114916
MD,Eldorado town,Eldorado townMD,12.3,66.7,78750,,,,,MD,Elliott CDP,Elliott CDPMD,51500
MD,Elkridge CDP,Elkridge CDPMD,5.6,91.9,97118,,,,,MD,Emmitsburg town,Emmitsburg townMD,59698
MD,Elkton town,Elkton townMD,17.5,85,53851,,,,,MD,Ernstville CDP,Ernstville CDPMD,-
MD,Ellerslie CDP,Ellerslie CDPMD,4.3,85.1,44000,,,,,MD,Essex CDP,Essex CDPMD,48434
MD,Ellicott City CDP,Ellicott City CDPMD,4.4,95.9,114916,,,,,MD,Fairland CDP,Fairland CDPMD,72493
MD,Elliott CDP,Elliott CDPMD,0,100,51500,,,,,MD,Fairlee CDP,Fairlee CDPMD,(X)
MD,Emmitsburg town,Emmitsburg townMD,14.8,89.8,59698,,,,,MD,Fairmount CDP,Fairmount CDPMD,9952
MD,Ernstville CDP,Ernstville CDPMD,0,100,-,,,,,MD,Fairmount Heights town,Fairmount Heights townMD,53261
MD,Essex CDP,Essex CDPMD,13.8,84.1,48434,,,,,MD,Fairplay CDP,Fairplay CDPMD,65486
MD,Fairland CDP,Fairland CDPMD,9.3,93.8,72493,,,,,MD,Fairview CDP,Fairview CDPMD,-
MD,Fairlee CDP,Fairlee CDPMD,20.7,69.9,(X),,,,,MD,Fairwood CDP,Fairwood CDPMD,154271
MD,Fairmount CDP,Fairmount CDPMD,53.3,80.6,9952,,,,,MD,Fallston CDP,Fallston CDPMD,102789
MD,Fairmount Heights town,Fairmount Heights townMD,17.1,81.1,53261,,,,,MD,Federalsburg town,Federalsburg townMD,34707
MD,Fairplay CDP,Fairplay CDPMD,0,90.6,65486,,,,,MD,Ferndale CDP,Ferndale CDPMD,63958
MD,Fairview CDP,Fairview CDPMD,-,-,-,,,,,MD,Finzel CDP,Finzel CDPMD,37036
MD,Fairwood CDP,Fairwood CDPMD,0.2,97.3,154271,,,,,MD,Fishing Creek CDP,Fishing Creek CDPMD,66058
MD,Fallston CDP,Fallston CDPMD,2.5,98.1,102789,,,,,MD,Flintstone CDP,Flintstone CDPMD,(X)
MD,Federalsburg town,Federalsburg townMD,32.4,76.4,34707,,,,,MD,Forest Glen CDP,Forest Glen CDPMD,92250
MD,Ferndale CDP,Ferndale CDPMD,8.1,82.5,63958,,,,,MD,Forest Heights town,Forest Heights townMD,70123
MD,Finzel CDP,Finzel CDPMD,13.2,87.9,37036,,,,,MD,Forestville CDP,Forestville CDPMD,68333
MD,Fishing Creek CDP,Fishing Creek CDPMD,0,86,66058,,,,,MD,Fort Meade CDP,Fort Meade CDPMD,64518
MD,Flintstone CDP,Flintstone CDPMD,62.7,100,(X),,,,,MD,Fort Ritchie CDP,Fort Ritchie CDPMD,39474
MD,Forest Glen CDP,Forest Glen CDPMD,7.9,91,92250,,,,,MD,Fort Washington CDP,Fort Washington CDPMD,104132
MD,Forest Heights town,Forest Heights townMD,9.6,85.9,70123,,,,,MD,Fountainhead-Orchard Hills CDP,Fountainhead-Orchard Hills CDPMD,75576
MD,Forestville CDP,Forestville CDPMD,11.5,85.8,68333,,,,,MD,Four Corners CDP,Four Corners CDPMD,114904
MD,Fort Meade CDP,Fort Meade CDPMD,6.3,96.3,64518,,,,,MD,Franklin CDP,Franklin CDPMD,(X)
MD,Fort Ritchie CDP,Fort Ritchie CDPMD,19.8,91.3,39474,,,,,MD,Frederick city,Frederick cityMD,64700
MD,Fort Washington CDP,Fort Washington CDPMD,5.2,91.8,104132,,,,,MD,Frenchtown-Rumbly CDP,Frenchtown-Rumbly CDPMD,(X)
MD,Fountainhead-Orchard Hills CDP,Fountainhead-Orchard Hills CDPMD,5.7,95,75576,,,,,MD,Friendly CDP,Friendly CDPMD,103095
MD,Four Corners CDP,Four Corners CDPMD,5.9,89.1,114904,,,,,MD,Friendship CDP,Friendship CDPMD,95000
MD,Franklin CDP,Franklin CDPMD,22.1,86.6,(X),,,,,MD,Friendship Heights Village CDP,Friendship Heights Village CDPMD,83479
MD,Frederick city,Frederick cityMD,11.4,89.2,64700,,,,,MD,Friendsville town,Friendsville townMD,35694
MD,Frenchtown-Rumbly CDP,Frenchtown-Rumbly CDPMD,0,82.9,(X),,,,,MD,Frostburg city,Frostburg cityMD,33729
MD,Friendly CDP,Friendly CDPMD,8.7,87.5,103095,,,,,MD,Fruitland city,Fruitland cityMD,65707
MD,Friendship CDP,Friendship CDPMD,3.5,85.6,95000,,,,,MD,Fulton CDP,Fulton CDPMD,130766
MD,Friendship Heights Village CDP,Friendship Heights Village CDPMD,6.4,98.5,83479,,,,,MD,Funkstown town,Funkstown townMD,47250
MD,Friendsville town,Friendsville townMD,33.4,82.4,35694,,,,,MD,Gaithersburg city,Gaithersburg cityMD,80734
MD,Frostburg city,Frostburg cityMD,31.7,90,33729,,,,,MD,Galena town,Galena townMD,64500
MD,Fruitland city,Fruitland cityMD,15.2,90.5,65707,,,,,MD,Galestown town,Galestown townMD,36250
MD,Fulton CDP,Fulton CDPMD,10.2,97.5,130766,,,,,MD,Galesville CDP,Galesville CDPMD,63295
MD,Funkstown town,Funkstown townMD,7.9,87,47250,,,,,MD,Gambrills CDP,Gambrills CDPMD,114271
MD,Gaithersburg city,Gaithersburg cityMD,9.2,88.4,80734,,,,,MD,Gapland CDP,Gapland CDPMD,(X)
MD,Galena town,Galena townMD,6.4,87.2,64500,,,,,MD,Garrett Park town,Garrett Park townMD,151458
MD,Galestown town,Galestown townMD,18.9,88.8,36250,,,,,MD,Garretts Mill CDP,Garretts Mill CDPMD,54265
MD,Galesville CDP,Galesville CDPMD,11.5,88,63295,,,,,MD,Garrison CDP,Garrison CDPMD,67609
MD,Gambrills CDP,Gambrills CDPMD,1.2,93.3,114271,,,,,MD,Georgetown CDP,Georgetown CDPMD,(X)
MD,Gapland CDP,Gapland CDPMD,0,100,(X),,,,,MD,Germantown CDP,Germantown CDPMD,84615
MD,Garrett Park town,Garrett Park townMD,6.6,99.3,151458,,,,,MD,Gilmore CDP,Gilmore CDPMD,42308
MD,Garretts Mill CDP,Garretts Mill CDPMD,6.4,79,54265,,,,,MD,Girdletree CDP,Girdletree CDPMD,58750
MD,Garrison CDP,Garrison CDPMD,9.4,94.3,67609,,,,,MD,Glassmanor CDP,Glassmanor CDPMD,51465
MD,Georgetown CDP,Georgetown CDPMD,0,78.3,(X),,,,,MD,Glenarden city,Glenarden cityMD,60266
MD,Germantown CDP,Germantown CDPMD,7.4,91.1,84615,,,,,MD,Glen Burnie CDP,Glen Burnie CDPMD,61966
MD,Gilmore CDP,Gilmore CDPMD,16.8,94,42308,,,,,MD,Glen Echo town,Glen Echo townMD,186875
MD,Girdletree CDP,Girdletree CDPMD,0,72.3,58750,,,,,MD,Glenmont CDP,Glenmont CDPMD,83737
MD,Glassmanor CDP,Glassmanor CDPMD,13.7,81.3,51465,,,,,MD,Glenn Dale CDP,Glenn Dale CDPMD,114866
MD,Glenarden city,Glenarden cityMD,14,90.5,60266,,,,,MD,Golden Beach CDP,Golden Beach CDPMD,96849
MD,Glen Burnie CDP,Glen Burnie CDPMD,8.8,86.1,61966,,,,,MD,Goldsboro town,Goldsboro townMD,58750
MD,Glen Echo town,Glen Echo townMD,0,99.5,186875,,,,,MD,Gorman CDP,Gorman CDPMD,-
MD,Glenmont CDP,Glenmont CDPMD,8.9,81,83737,,,,,MD,Grahamtown CDP,Grahamtown CDPMD,57500
MD,Glenn Dale CDP,Glenn Dale CDPMD,6.9,91.8,114866,,,,,MD,Grantsville town,Grantsville townMD,35385
MD,Golden Beach CDP,Golden Beach CDPMD,2.7,92.1,96849,,,,,MD,Grasonville CDP,Grasonville CDPMD,87356
MD,Goldsboro town,Goldsboro townMD,15.5,66.7,58750,,,,,MD,Greenbelt city,Greenbelt cityMD,63585
MD,Gorman CDP,Gorman CDPMD,0,48.4,-,,,,,MD,Greensboro town,Greensboro townMD,50511
MD,Grahamtown CDP,Grahamtown CDPMD,4.4,100,57500,,,,,MD,Greensburg CDP,Greensburg CDPMD,59545
MD,Grantsville town,Grantsville townMD,17.7,89,35385,,,,,MD,Hagerstown city,Hagerstown cityMD,39251
MD,Grasonville CDP,Grasonville CDPMD,13.8,93.2,87356,,,,,MD,Halfway CDP,Halfway CDPMD,58133
MD,Greenbelt city,Greenbelt cityMD,11.3,89,63585,,,,,MD,Hampstead town,Hampstead townMD,77198
MD,Greensboro town,Greensboro townMD,13.2,80.5,50511,,,,,MD,Hampton CDP,Hampton CDPMD,114821
MD,Greensburg CDP,Greensburg CDPMD,2.4,92.1,59545,,,,,MD,Hancock town,Hancock townMD,33798
MD,Hagerstown city,Hagerstown cityMD,26.8,83,39251,,,,,MD,Havre de Grace city,Havre de Grace cityMD,67813
MD,Halfway CDP,Halfway CDPMD,7.5,91.5,58133,,,,,MD,Hebron town,Hebron townMD,53224
MD,Hampstead town,Hampstead townMD,3.4,95.2,77198,,,,,MD,Henderson town,Henderson townMD,27500
MD,Hampton CDP,Hampton CDPMD,4.8,97.1,114821,,,,,MD,Herald Harbor CDP,Herald Harbor CDPMD,113313
MD,Hancock town,Hancock townMD,14.4,85.6,33798,,,,,MD,Highfield-Cascade CDP,Highfield-Cascade CDPMD,51739
MD,Havre de Grace city,Havre de Grace cityMD,11.1,91.5,67813,,,,,MD,Highland CDP,Highland CDPMD,225337
MD,Hebron town,Hebron townMD,5.7,92.3,53224,,,,,MD,Highland Beach town,Highland Beach townMD,130000
MD,Henderson town,Henderson townMD,57,55.4,27500,,,,,MD,Hillandale CDP,Hillandale CDPMD,100557
MD,Herald Harbor CDP,Herald Harbor CDPMD,0.8,97.2,113313,,,,,MD,Hillcrest Heights CDP,Hillcrest Heights CDPMD,56489
MD,Highfield-Cascade CDP,Highfield-Cascade CDPMD,11.5,86.9,51739,,,,,MD,Hillsboro town,Hillsboro townMD,60625
MD,Highland CDP,Highland CDPMD,0.8,98.9,225337,,,,,MD,Hughesville CDP,Hughesville CDPMD,137333
MD,Highland Beach town,Highland Beach townMD,8.2,97.7,130000,,,,,MD,Huntingtown CDP,Huntingtown CDPMD,133083
MD,Hillandale CDP,Hillandale CDPMD,6.4,87.6,100557,,,,,MD,Hurlock town,Hurlock townMD,36352
MD,Hillcrest Heights CDP,Hillcrest Heights CDPMD,10.8,89.6,56489,,,,,MD,Hutton CDP,Hutton CDPMD,-
MD,Hillsboro town,Hillsboro townMD,10.5,83.8,60625,,,,,MD,Hyattsville city,Hyattsville cityMD,64786
MD,Hughesville CDP,Hughesville CDPMD,12.5,89.3,137333,,,,,MD,Ilchester CDP,Ilchester CDPMD,114815
MD,Huntingtown CDP,Huntingtown CDPMD,2.3,97.6,133083,,,,,MD,Indian Head town,Indian Head townMD,71250
MD,Hurlock town,Hurlock townMD,24.6,78,36352,,,,,MD,Indian Springs CDP,Indian Springs CDPMD,-
MD,Hutton CDP,Hutton CDPMD,0,30.4,-,,,,,MD,Jarrettsville CDP,Jarrettsville CDPMD,102007
MD,Hyattsville city,Hyattsville cityMD,11.1,76.4,64786,,,,,MD,Jefferson CDP,Jefferson CDPMD,105865
MD,Ilchester CDP,Ilchester CDPMD,5.8,94.1,114815,,,,,MD,Jennings CDP,Jennings CDPMD,50833
