Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
AL,Coosada town,Coosada townAL,23.5,84.3,47406,,,,,AL,Coosada town,Coosada townAL,47406
AL,Cordova city,Cordova cityAL,32.8,79.8,19139,,,,,AL,Cordova city,Cordova cityAL,19139
AL,Cottondale CDP,Cottondale CDPAL,12.8,74.9,43875,,,,,AL,Cottondale CDP,Cottondale CDPAL,43875
AL,Cottonwood town,Cottonwood townAL,29.8,76.3,25313,,,,,AL,Cottonwood town,Cottonwood townAL,25313
AL,County Line town,County Line townAL,10.7,83.9,55313,,,,,AL,County Line town,County Line townAL,55313
AL,Courtland town,Courtland townAL,25.8,79.6,33125,,,,,AL,Courtland town,Courtland townAL,33125
AL,Cowarts town,Cowarts townAL,11.7,86,43533,,,,,AL,Cowarts town,Cowarts townAL,43533
AL,Creola city,Creola cityAL,18.1,84.4,51705,,,,,AL,Creola city,Creola cityAL,51705
AL,Crossville town,Crossville townAL,38.1,70.4,30833,,,,,AL,Crossville town,Crossville townAL,30833
AL,Cuba town,Cuba townAL,21,92.1,40673,,,,,AL,Cuba town,Cuba townAL,40673
AL,Cullman city,Cullman cityAL,21.9,85.3,38746,,,,,AL,Cullman city,Cullman cityAL,38746
AL,Cullomburg CDP,Cullomburg CDPAL,8.5,93.4,(X),,,,,AL,Cullomburg CDP,Cullomburg CDPAL,(X)
AL,Cusseta town,Cusseta townAL,9.3,83.7,52500,,,,,AL,Cusseta town,Cusseta townAL,52500
AL,Dadeville city,Dadeville cityAL,28.8,73.7,29368,,,,,AL,Dadeville city,Dadeville cityAL,29368
AL,Daleville city,Daleville cityAL,24.5,85.3,45651,,,,,AL,Daleville city,Daleville cityAL,45651
AL,Daphne city,Daphne cityAL,11.2,95.8,60737,,,,,AL,Daphne city,Daphne cityAL,60737
AL,Dauphin Island town,Dauphin Island townAL,3.6,95.8,63594,,,,,AL,Dauphin Island town,Dauphin Island townAL,63594
AL,Daviston town,Daviston townAL,12.9,87.8,47639,,,,,AL,Daviston town,Daviston townAL,47639
AL,Dayton town,Dayton townAL,48,100,(X),,,,,AL,Dayton town,Dayton townAL,(X)
AL,Deatsville town,Deatsville townAL,5.1,96.3,78125,,,,,AL,Deatsville town,Deatsville townAL,78125
AL,Decatur city,Decatur cityAL,21.2,82.7,41496,,,,,AL,Decatur city,Decatur cityAL,41496
AL,Deer Park CDP,Deer Park CDPAL,28.1,86.3,(X),,,,,AL,Deer Park CDP,Deer Park CDPAL,(X)
AL,Delta CDP,Delta CDPAL,0,87,(X),,,,,AL,Delta CDP,Delta CDPAL,(X)
AL,Demopolis city,Demopolis cityAL,31,89.1,27656,,,,,AL,Demopolis city,Demopolis cityAL,27656
AL,Detroit town,Detroit townAL,27.9,64.8,24107,,,,,AL,Detroit town,Detroit townAL,24107
AL,Dodge City town,Dodge City townAL,16.7,81.7,41346,,,,,AL,Dodge City town,Dodge City townAL,41346
AL,Dora city,Dora cityAL,17.2,82.3,40769,,,,,AL,Dora city,Dora cityAL,40769
AL,Dothan city,Dothan cityAL,19.1,86.2,42426,,,,,AL,Dothan city,Dothan cityAL,42426
AL,Double Springs town,Double Springs townAL,27.5,74.5,29063,,,,,AL,Double Springs town,Double Springs townAL,29063
AL,Douglas town,Douglas townAL,34.9,78.5,29318,,,,,AL,Douglas town,Douglas townAL,29318
AL,Dozier town,Dozier townAL,30.3,79.1,21765,,,,,AL,Dozier town,Dozier townAL,21765
AL,Dunnavant CDP,Dunnavant CDPAL,7.7,76,42857,,,,,AL,Dunnavant CDP,Dunnavant CDPAL,42857
AL,Dutton town,Dutton townAL,24.2,90.6,39688,,,,,AL,Dutton town,Dutton townAL,39688
AL,East Brewton city,East Brewton cityAL,30.6,83.6,26736,,,,,AL,East Brewton city,East Brewton cityAL,26736
AL,East Point CDP,East Point CDPAL,0,91.4,62059,,,,,AL,East Point CDP,East Point CDPAL,62059
AL,Eclectic town,Eclectic townAL,13.4,84.2,41304,,,,,AL,Eclectic town,Eclectic townAL,41304
AL,Edgewater CDP,Edgewater CDPAL,26.5,84.1,26818,,,,,AL,Edgewater CDP,Edgewater CDPAL,26818
AL,Edwardsville town,Edwardsville townAL,5.1,87,38438,,,,,AL,Edwardsville town,Edwardsville townAL,38438
AL,Egypt CDP,Egypt CDPAL,4.5,84.9,56693,,,,,AL,Egypt CDP,Egypt CDPAL,56693
AL,Elba city,Elba cityAL,31.1,76.9,26156,,,,,AL,Elba city,Elba cityAL,26156
AL,Elberta town,Elberta townAL,15.8,85.8,31190,,,,,AL,Elberta town,Elberta townAL,31190
AL,Eldridge town,Eldridge townAL,37.8,75,30000,,,,,AL,Eldridge town,Eldridge townAL,30000
AL,Elkmont town,Elkmont townAL,11.2,78.2,39583,,,,,AL,Elkmont town,Elkmont townAL,39583
AL,Elmore town,Elmore townAL,30,70.5,40150,,,,,AL,Elmore town,Elmore townAL,40150
AL,Emelle town,Emelle townAL,0,79.3,36250,,,,,AL,Emelle town,Emelle townAL,36250
AL,Emerald Mountain CDP,Emerald Mountain CDPAL,8.2,90.9,91054,,,,,AL,Emerald Mountain CDP,Emerald Mountain CDPAL,91054
AL,Enterprise city,Enterprise cityAL,16.3,89.2,54450,,,,,AL,Enterprise city,Enterprise cityAL,54450
AL,Epes town,Epes townAL,24.8,81.6,25000,,,,,AL,Epes town,Epes townAL,25000
AL,Ethelsville town,Ethelsville townAL,32.3,80.6,40417,,,,,AL,Ethelsville town,Ethelsville townAL,40417
AL,Eufaula city,Eufaula cityAL,25.3,81.5,32845,,,,,AL,Eufaula city,Eufaula cityAL,32845
AL,Eunola CDP,Eunola CDPAL,0,96.1,42023,,,,,AL,Eunola CDP,Eunola CDPAL,42023
AL,Eutaw town,Eutaw townAL,32.7,73.2,22377,,,,,AL,Eutaw town,Eutaw townAL,22377
AL,Eva town,Eva townAL,11.1,91.2,39868,,,,,AL,Eva town,Eva townAL,39868
AL,Evergreen city,Evergreen cityAL,52.6,79.2,18661,,,,,AL,Evergreen city,Evergreen cityAL,18661
AL,Excel town,Excel townAL,18.6,86,34375,,,,,AL,Excel town,Excel townAL,34375
AL,Fairfield city,Fairfield cityAL,23.4,88.9,34890,,,,,AL,Fairfield city,Fairfield cityAL,34890
AL,Fairford CDP,Fairford CDPAL,0,57.6,32269,,,,,AL,Fairford CDP,Fairford CDPAL,32269
AL,Fairhope city,Fairhope cityAL,11.2,95.4,61489,,,,,AL,Fairhope city,Fairhope cityAL,61489
AL,Fairview town,Fairview townAL,24,82,37750,,,,,AL,Fairview town,Fairview townAL,37750
AL,Falkville town,Falkville townAL,26,65.1,33846,,,,,AL,Falkville town,Falkville townAL,33846
AL,Faunsdale town,Faunsdale townAL,30.2,85.7,20625,,,,,AL,Faunsdale town,Faunsdale townAL,20625
AL,Fayette city,Fayette cityAL,25.9,79.1,30646,,,,,AL,Fayette city,Fayette cityAL,30646
AL,Fayetteville CDP,Fayetteville CDPAL,15.3,68.5,34632,,,,,AL,Fayetteville CDP,Fayetteville CDPAL,34632
AL,Fitzpatrick CDP,Fitzpatrick CDPAL,15.5,60.7,(X),,,,,AL,Fitzpatrick CDP,Fitzpatrick CDPAL,(X)
AL,Five Points town,Five Points townAL,20.4,61.9,45000,,,,,AL,Five Points town,Five Points townAL,45000
AL,Flomaton town,Flomaton townAL,30.2,77.3,24406,,,,,AL,Flomaton town,Flomaton townAL,24406
AL,Florala town,Florala townAL,30.1,79.6,25673,,,,,AL,Florala town,Florala townAL,25673
AL,Florence city,Florence cityAL,24.6,84.4,35731,,,,,AL,Florence city,Florence cityAL,35731
AL,Foley city,Foley cityAL,18.9,91.5,40938,,,,,AL,Foley city,Foley cityAL,40938
AL,Forestdale CDP,Forestdale CDPAL,17,93.5,48654,,,,,AL,Forestdale CDP,Forestdale CDPAL,48654
AL,Forkland town,Forkland townAL,48.1,74.1,19063,,,,,AL,Forkland town,Forkland townAL,19063
AL,Fort Deposit town,Fort Deposit townAL,30.2,70.5,23963,,,,,AL,Fort Deposit town,Fort Deposit townAL,23963
AL,Fort Payne city,Fort Payne cityAL,19,67.7,38833,,,,,AL,Fort Payne city,Fort Payne cityAL,38833
AL,Fort Rucker CDP,Fort Rucker CDPAL,8,98.8,59265,,,,,AL,Fort Rucker CDP,Fort Rucker CDPAL,59265
AL,Franklin town,Franklin townAL,6.6,85,60417,,,,,AL,Franklin town,Franklin townAL,60417
AL,Fredonia CDP,Fredonia CDPAL,18.4,88.6,66591,,,,,AL,Fredonia CDP,Fredonia CDPAL,66591
AL,Frisco City town,Frisco City townAL,31.3,77.3,17311,,,,,AL,Frisco City town,Frisco City townAL,17311
AL,Fruitdale CDP,Fruitdale CDPAL,33,93.3,63125,,,,,AL,Fruitdale CDP,Fruitdale CDPAL,63125
AL,Fruithurst town,Fruithurst townAL,13.5,75.8,35625,,,,,AL,Fruithurst town,Fruithurst townAL,35625
AL,Fulton town,Fulton townAL,19.9,76,32083,,,,,AL,Fulton town,Fulton townAL,32083
AL,Fultondale city,Fultondale cityAL,14,85.1,51587,,,,,AL,Fultondale city,Fultondale cityAL,51587
AL,Fyffe town,Fyffe townAL,12.8,83.7,42356,,,,,AL,Fyffe town,Fyffe townAL,42356
AL,Gadsden city,Gadsden cityAL,29.4,78.3,29136,,,,,AL,Gadsden city,Gadsden cityAL,29136
AL,Gainesville town,Gainesville townAL,40.9,76.7,14444,,,,,AL,Gainesville town,Gainesville townAL,14444
AL,Gallant CDP,Gallant CDPAL,3.9,83.7,45859,,,,,AL,Gallant CDP,Gallant CDPAL,45859
AL,Gantt town,Gantt townAL,8.3,85.6,47000,,,,,AL,Gantt town,Gantt townAL,47000
AL,Garden City town,Garden City townAL,19.3,79.8,31591,,,,,AL,Garden City town,Garden City townAL,31591
AL,Gardendale city,Gardendale cityAL,7.8,92.2,56132,,,,,AL,Gardendale city,Gardendale cityAL,56132
AL,Gaylesville town,Gaylesville townAL,19.3,78.4,26818,,,,,AL,Gaylesville town,Gaylesville townAL,26818
AL,Geiger town,Geiger townAL,19.5,71.3,45125,,,,,AL,Geiger town,Geiger townAL,45125
AL,Geneva city,Geneva cityAL,30.3,78.1,29912,,,,,AL,Geneva city,Geneva cityAL,29912
AL,Georgiana town,Georgiana townAL,35.5,71.1,19969,,,,,AL,Georgiana town,Georgiana townAL,19969
AL,Geraldine town,Geraldine townAL,13.8,84.2,42292,,,,,AL,Geraldine town,Geraldine townAL,42292
AL,Gilbertown town,Gilbertown townAL,21.5,83.8,33750,,,,,AL,Gilbertown town,Gilbertown townAL,33750
AL,Glen Allen town,Glen Allen townAL,21.4,76.5,24531,,,,,AL,Glen Allen town,Glen Allen townAL,24531
AL,Glencoe city,Glencoe cityAL,11.1,86.6,46691,,,,,AL,Glencoe city,Glencoe cityAL,46691
AL,Glenwood town,Glenwood townAL,13.6,84.8,36000,,,,,AL,Glenwood town,Glenwood townAL,36000
AL,Goldville town,Goldville townAL,9.3,86.7,46250,,,,,AL,Goldville town,Goldville townAL,46250
AL,Good Hope town,Good Hope townAL,15.2,86.5,47754,,,,,AL,Good Hope town,Good Hope townAL,47754
AL,Goodwater town,Goodwater townAL,32.2,71.6,23809,,,,,AL,Goodwater town,Goodwater townAL,23809
